Остатки по КТ по размерам;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Артикул продавца;Название;Артикул WB;Предмет;Бренд;Размер;Регион;Склад;Доступность;Заказали, шт;Заказали на сумму, ₽;Выкупили, шт;Выкупили на сумму, ₽;Процент выкупа;Заказы в среднем за февраль, шт;Заказы в среднем за март, шт;Общее среднее кол-во заказов, шт;Остатки на текущий день, шт;Стоимость остатков на текущий день, ₽;Остатки впервые зафиксированы на складе WB;Оборачиваемость текущих остатков;Оборачиваемость средних остатков;В пути к покупателю, шт;В пути от покупателя, шт;Текущая цена с учетом скидок, ₽;Время отсутствия товара на складе;Упущенные заказы, шт;Сумма упущенных заказов, ₽;Упущенные выкупы, шт;Сумма упущенных выкупов, ₽
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Центральный;Тамбов WB;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;1;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Узбекистан;Ташкент 2  WB;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;0;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Дальневосточный + Сибирский;Томск;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;1;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Приволжский;Ульяновск;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;1;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Центральный;Чашниково;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;0;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Приволжский;Чебоксары 2;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;1;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Уральский;Челябинск;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;4;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Дальневосточный + Сибирский;Чита;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;1;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;40-41;Центральный;Владимир WB;Дефицит;846;539416;582;371805;90;22,67;39,82;31,94;369;226525;> 180 дней назад;14д 2ч;23д 22ч;37;2;614;0ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;40-41;Уральский;Екатеринбург - Перспективная 14;Дефицит;430;270179;301;189205;94;11,89;19,64;16,08;160;98222;> 180 дней назад;11д 15ч;14д 13ч;25;2;614;0ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;40-41;Приволжский;Сарапул WB;Дефицит;229;143755;170;104910;88;8,22;7,36;7,76;664;407623;> 180 дней назад;95д 11ч;110д 2ч;3;0;614;0ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;40-41;Приволжский;Казань;Дефицит;160;104248;99;66099;94;0,72;13,36;7,56;0;0;> 180 дней назад;2ч;8д 14ч;9;1;614;16д 9ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;40-41;Северо-Западный;Склад СПБ Шушары Московское;Дефицит;160;100386;120;74984;90;4,83;6,64;5,81;447;274409;> 180 дней назад;90д 11ч;106д 20ч;0;0;614;0ч;0;0;0;0
